question,correct_answer,incorrect_1,incorrect_2,incorrect_3
"Theo Luật Luật tổ chức VKSND 2014, Phó Viện trưởng Viện kiểm sát nhân dân cấp huyện do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức",Viện trưởng Viện kiểm sát nhân dân tối cao,Chủ tịch UBND cấp tỉnh,Viện trưởng Viện kiểm sát nhân dân cấp cao,Viện trưởng Viện kiểm sát nhân dân cấp tỉnh
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào trình Chủ tịch nước bổ nhiệm, miễn nhiệm, cách chức Phó Viện trưởng Viện kiểm sát nhân dân tối cao, Kiểm sát viên Viện kiểm sát nhân dân tối cao?",Viện trưởng Viện kiểm sát nhân dân tối cao,Chủ tịch Quốc hội,Ủy ban thường vụ Quốc hội,Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm kỳ của Phó Viện trưởng Viện kiểm sát nhân dân cấp cao là:",không quá 05 năm,không quá 07 năm,không quá 10 năm,theo nhiệm kỳ của Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Tổ chức bộ máy của Viện kiểm sát nhân dân cấp tỉnh gồm có:",Ủy ban kiểm sát,"Các cơ sở đào tạo, bồi dưỡng",Tất cả đều đúng,Các viện và tương đương
"Theo Luật Luật tổ chức VKSND 2014, Một số Kiểm sát viên Viện kiểm sát nhân dân tối cao là Ủy ban kiểm sát Viện kiểm sát nhân dân tối cao do chủ thể nào quyết định theo đề nghị của Viện trưởng Viện kiểm sát nhân dân tối cao?",Ủy ban thường vụ Quốc hội,Chủ tịch Quốc hội,Quốc hội,Chủ tịch nước
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong giai đoạn điều tra vụ án hình sự:","Đề ra yêu cầu điều tra và yêu cầu Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra thực hiện việc điều tra để làm rõ tội phạm, người phạm tội; yêu cầu Cơ quan điều tra truy nã bị can.","Trực tiếp kiểm sát; kiểm sát việc kiểm tra, xác minh, lập hồ sơ và kết quả giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố của Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra. Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra có trách nhiệm thông báo đầy đủ, kịp thời kết quả xác minh, giải quyết cho Viện kiểm sát nhân dân","Kiểm sát việc tuân theo pháp luật của Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra trong việc tiếp nhận tố giác, tin báo về tội phạm và kiến nghị khởi tố. Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra có trách nhiệm thông báo đầy đủ, kịp thời tố giác, tin báo về tội phạm và kiến nghị khởi tố đã tiếp nhận cho Viện kiểm sát nhân dân.",Tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát việc tiếp nhận, giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố:","Giải quyết các tranh chấp về thẩm quyền giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố.","Hủy bỏ quyết định tạm giữ, các quyết định tố tụng khác trái pháp luật của cơ quan có thẩm quyền trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố.","Trực tiếp giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố trong trường hợp phát hiện có vi phạm pháp luật nghiêm trọng hoặc có dấu hiệu bỏ lọt tội phạm mà Viện kiểm sát nhân dân đã yêu cầu nhưng không được khắc phục.","Phê chuẩn, không phê chuẩn việc bắt người trong trường hợp khẩn cấp, gia hạn tạm giữ và các biện pháp khác hạn chế quyền con người, quyền công dân trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố."
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm kỳ của Viện trưởng Viện kiểm sát nhân dân tối cao:",theo nhiệm kỳ của Quốc hội,không quá 10 năm,không quá 07 năm,không quá 05 năm
"Theo Luật Luật tổ chức VKSND 2014, Ủy ban kiểm sát Viện kiểm sát nhân dân tối cao gồm có:",Viện trưởng Viện kiểm sát nhân dân tối cao,Viện trưởng Viện kiểm sát nhân dân cấp cao,Kiểm sát viên Viện kiểm sát nhân dân tối cao,Tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát nhân dân tối cao có","Viện trưởng, các Phó Viện trưởng Viện kiểm sát nhân dân tối cao, Kiểm sát viên, Kiểm tra viên; Thủ trưởng, các Phó thủ trưởng Cơ quan điều tra, Điều tra viên; công chức khác, viên chức và người lao động khác","Viện trưởng, các Phó Viện trưởng Viện kiểm sát nhân dân tối cao, Kiểm tra viên; Thủ trưởng, các Phó thủ trưởng Cơ quan điều tra, công chức khác, viên chức và người lao động khác","Viện trưởng, các Phó Viện trưởng Viện kiểm sát nhân dân tối cao, Kiểm sát viên, Kiểm tra viên; công chức khác, viên chức và người lao động khác","Viện trưởng, các Phó Viện trưởng Viện kiểm sát nhân dân tối cao, Thủ trưởng, các Phó thủ trưởng Cơ quan điều tra, Điều tra viên; công chức khác, viên chức và người lao động khác"
"Theo Luật Luật tổ chức VKSND 2014, Việc thành lập, giải thể Viện kiểm sát nhân dân cấp cao, Viện kiểm sát nhân dân cấp tỉnh, Viện kiểm sát nhân dân cấp huyện do chủ thể nào quyết định",Ủy ban thường vụ Quốc hội,Chủ tịch nước,Quốc hội,Chủ tịch Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong giai đoạn điều tra vụ án hình sự:","Đề ra yêu cầu điều tra và yêu cầu Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra thực hiện việc điều tra để làm rõ tội phạm, người phạm tội; yêu cầu Cơ quan điều tra truy nã bị can.","Quyết định áp dụng, thay đổi, hủy bỏ biện pháp bắt, tạm giữ, tạm giam, các biện pháp ngăn chặn và các biện pháp khác hạn chế quyền con người, quyền công dân theo quy định của luật.","Yêu cầu Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra khởi tố hoặc thay đổi, bổ sung quyết định khởi tố vụ án, khởi tố bị can.",Tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Ủy ban kiểm sát Viện kiểm sát nhân dân cấp cao gồm có:",Các Phó Viện trưởng Viện kiểm sát nhân dân cấp cao,Các Kiểm sát viên,Một số Điều tra viên,Tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Hệ thống Viện kiểm sát nhân dân gồm:",Viện kiểm sát nhân dân cấp cao,"Viện kiểm sát nhân dân huyện, quận, thị xã, thôn thành phố thuộc tỉnh và tương đương",Viện kiểm sát nhân dân,Viện kiểm sát nhân dân quân sự
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào Đề nghị Hội đồng tuyển chọn Kiểm sát viên Viện kiểm sát nhân dân tối cao tuyển chọn, xem xét việc miễn nhiệm, cách chức Kiểm sát viên Viện kiểm sát nhân dân tối cao?",Ủy ban kiểm sát Viện kiểm sát nhân dân tối cao,Viện trưởng Viện kiểm sát nhân dân cấp cao,Viện kiểm sát nhân dân tối cao,Viện trưởng Viện kiểm sát nhân dân tối ca
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm kỳ của Phó Viện trưởng Viện kiểm sát nhân dân tối cao là:",không quá 05 năm,không quá 10 năm,theo nhiệm kỳ của Quốc hội,không quá 07 năm
"Theo Luật Luật tổ chức VKSND 2014, Tổ chức bộ máy của Viện kiểm sát nhân dân cấp cao không gồm có:","Các cơ sở đào tạo, bồi dưỡng, các cơ quan báo chí",Ủy ban kiểm sát,Văn phòng,Các viện và tương đương
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố là","Trực tiếp giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố trong trường hợp phát hiện có vi phạm pháp luật nghiêm trọng hoặc có dấu hiệu bỏ lọt tội phạm mà Viện kiểm sát nhân dân đã yêu cầu nhưng không được khắc phục.",Tất cả đều đúng,"Tiếp nhận đầy đủ tố giác, tin báo về tội phạm và kiến nghị khởi tố do các cơ quan, tổ chức, cá nhân chuyển đến và chuyển ngay cho Cơ quan điều tra có thẩm quyền giải quyết","Kiểm sát việc tuân theo pháp luật của Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra trong việc tiếp nhận tố giác, tin báo về tội phạm và kiến nghị khởi tố. Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra có trách nhiệm thông báo đầy đủ, kịp thời tố giác, tin báo về tội phạm và kiến nghị khởi tố đã tiếp nhận cho Viện kiểm sát nhân dân."
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố là","Phê chuẩn, không phê chuẩn việc bắt người trong trường hợp khẩn cấp, gia hạn tạm giữ và các biện pháp khác hạn chế quyền con người, quyền công dân trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố",Tất cả đều đúng,"Trực tiếp giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố trong trường hợp phát hiện có vi phạm pháp luật nghiêm trọng hoặc có dấu hiệu bỏ lọt tội phạm mà Viện kiểm sát nhân dân đã yêu cầu nhưng không được khắc phục.","Tiếp nhận đầy đủ tố giác, tin báo về tội phạm và kiến nghị khởi tố do các cơ quan, tổ chức, cá nhân chuyển đến và chuyển ngay cho Cơ quan điều tra có thẩm quyền giải quyết"
"Theo Luật Luật tổ chức VKSND 2014, Đâu không phải là các chức danh tư pháp trong Viện kiểm sát nhân dân:",Nhân viên,Kiểm sát viên,Điều tra viên,Phó Viện trưởng Viện kiểm sát nhân dân
"Theo Luật Luật tổ chức VKSND 2014, Đâu không phải là các chức danh tư pháp trong Viện kiểm sát nhân dân:",Nhân viên,Kiểm sát viên,Điều tra viên,Phó Viện trưởng Viện kiểm sát nhân dân
"Theo Luật Luật tổ chức VKSND 2014, Tổ chức bộ máy của Viện kiểm sát nhân dân tối cao gồm có:",Viện kiểm sát quân sự trung ươn,Cơ quan an ninh điều tra,Ủy ban kiểm tra giám sát,Viện kiểm sát quân sự trung ương
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát nhân dân tối cao do chủ thể nào bầu, miễn nhiệm, bãi nhiệm?",Quốc hội,Chủ tịch Quốc hội,Chủ tịch nước,Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Lời tuyên thệ của Người được bổ nhiệm vào các ngạch Kiểm sát viên là:","Tuyệt đối trung thành với Tổ quốc, tận tụy phục vụ nhân dân",Thực hiện bình đẳng giới,Đấu tranh không khoan nhượng với mọi tội phạm và vi phạm pháp luật,Tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Lời tuyên thệ của Người được bổ nhiệm vào các ngạch Kiểm sát viên là:",Đấu tranh không khoan nhượng với mọi tội phạm và vi phạm pháp luật,Thực hiện bình đẳng giới,Tất cả đều đúng,"Thực hiện nguyên tắc tập trung dân chủ, chế độ trách nhiệm cá nhân và phân công, phân cấp rõ ràng"
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát nhân dân thực hiện chức năng thực hành quyền công tố bằng các công tác sau đây","Thực hành quyền công tố trong giai đoạn khởi tố, điều tra vụ án hình sự","Kiểm sát việc khởi tố, điều tra vụ án hình sự",Kiểm sát việc xét xử vụ án hình sự,Tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Chọn đáp án đúng: Viện kiểm sát cấp trên có trách nhiệm …………..nghiêm minh vi phạm pháp luật của Viện kiểm sát cấp dưới","Kiểm tra, xử lý","kiểm tra, giám sát","Thanh tra, kiểm tra, xử lý",kiểm tra
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát nhân dân thực hành quyền công tố nhằm bảo đảm:","Mọi hành vi phạm tội, người phạm tội phải được phát hiện, khởi tố, điều tra, truy tố, xét xử kịp thời, nghiêm minh, đúng người, đúng tội, đúng pháp luật, không làm oan người vô tội, không để lọt tội phạm và người phạm tội",tất cả đều đúng,"việc thi hành án; việc giải quyết khiếu nại, tố cáo trong hoạt động tư pháp; các hoạt động tư pháp khác được thực hiện đúng quy định của pháp luật","Việc bắt, tạm giữ, tạm giam, thi hành án phạt tù, chế độ tạm giữ, tạm giam, quản lý và giáo dục người chấp hành án phạt tù theo đúng quy định của pháp luật; quyền con người và các quyền, lợi ích hợp pháp khác của người bị bắt, tạm giữ, tạm giam, người chấp hành án phạt tù không bị luật hạn chế phải được tôn trọng và bảo vệ"
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát nhân dân thực hành quyền công tố nhằm bảo đảm:","Không để người nào bị khởi tố, bị bắt, tạm giữ, tạm giam, bị hạn chế quyền con người, quyền công dân trái luật",tất cả đều đúng,"việc thi hành án; việc giải quyết khiếu nại, tố cáo trong hoạt động tư pháp; các hoạt động tư pháp khác được thực hiện đúng quy định của pháp luật","Việc bắt, tạm giữ, tạm giam, thi hành án phạt tù, chế độ tạm giữ, tạm giam, quản lý và giáo dục người chấp hành án phạt tù theo đúng quy định của pháp luật; quyền con người và các quyền, lợi ích hợp pháp khác của người bị bắt, tạm giữ, tạm giam, người chấp hành án phạt tù không bị luật hạn chế phải được tôn trọng và bảo vệ"
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào có quyền rút, đình chỉ, hủy bỏ quyết định trái pháp luật của Viện trưởng Viện kiểm sát cấp dưới?",Viện trưởng Viện kiểm sát cấp trên,Quốc hội,Chính phủ,Viện kiểm sát cấp trên
"Theo Luật Luật tổ chức VKSND 2014, Khi thực hiện chức năng kiểm sát hoạt động tư pháp, Viện kiểm sát nhân dân có nhiệm vụ, quyền hạn sau đây:",tất cả đều đúng,"Kháng nghị bản án, quyết định của Tòa án có vi phạm pháp luật; kiến nghị hành vi, quyết định của Tòa án có vi phạm pháp luật; kháng nghị hành vi, quyết định có vi phạm pháp luật của cơ quan, người có thẩm quyền khác trong hoạt động tư pháp","Yêu cầu cơ quan, tổ chức, cá nhân thực hiện hoạt động tư pháp theo đúng quy định của pháp luật; tự kiểm tra việc tiến hành hoạt động tư pháp thuộc thẩm quyền và thông báo kết quả cho Viện kiểm sát nhân dân; cung cấp hồ sơ, tài liệu để Viện kiểm sát nhân dân kiểm sát tính hợp pháp của các hành vi, quyết định trong hoạt động tư pháp","Kiểm sát việc giải quyết khiếu nại, tố cáo trong hoạt động tư pháp; giải quyết khiếu nại, tố cáo thuộc thẩm quyền"
"Theo Luật Luật tổ chức VKSND 2014, Khi thực hiện chức năng kiểm sát hoạt động tư pháp, Viện kiểm sát nhân dân có nhiệm vụ, quyền hạn sau đây:","Trực tiếp kiểm sát; xác minh, thu thập tài liệu để làm rõ vi phạm pháp luật của cơ quan, tổ chức, cá nhân trong hoạt động tư pháp",tất cả đều đúng,"Kháng nghị bản án, quyết định của Tòa án có vi phạm pháp luật; kiến nghị hành vi, quyết định của Tòa án có vi phạm pháp luật; kháng nghị hành vi, quyết định có vi phạm pháp luật của cơ quan, người có thẩm quyền khác trong hoạt động tư pháp","Yêu cầu cơ quan, tổ chức, cá nhân thực hiện hoạt động tư pháp theo đúng quy định của pháp luật; tự kiểm tra việc tiến hành hoạt động tư pháp thuộc thẩm quyền và thông báo kết quả cho Viện kiểm sát nhân dân; cung cấp hồ sơ, tài liệu để Viện kiểm sát nhân dân kiểm sát tính hợp pháp của các hành vi, quyết định trong hoạt động tư pháp"
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào dự án luật, pháp lệnh trình Quốc hội, Ủy ban thường vụ Quốc hội?",Ủy ban kiểm sát Viện kiểm sát nhân dân tối cao,Viện trưởng Viện kiểm sát nhân dân cấp cao,Viện kiểm sát nhân dân tối cao,Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Thực hành quyền công tố là:","hoạt động của Viện kiểm sát nhân dân trong tố tụng hình sự để thực hiện việc buộc tội của Nhà nước đối với người phạm tội, được thực hiện ngay từ khi giải quyết tố giác, tin báo về tội phạm, kiến nghị khởi tố và trong suốt quá trình khởi tố, điều tra, truy tố, xét xử vụ án hình sự","Yêu cầu cơ quan, tổ chức, cá nhân thực hiện hoạt động tư pháp theo đúng quy định của pháp luật; tự kiểm tra việc tiến hành hoạt động tư pháp thuộc thẩm quyền và thông báo kết quả cho Viện kiểm sát nhân dân; cung cấp hồ sơ, tài liệu để Viện kiểm sát nhân dân kiểm sát tính hợp pháp của các hành vi, quyết định trong hoạt động tư pháp","hoạt động của Viện kiểm sát nhân dân để kiểm sát tính hợp pháp của các hành vi, quyết định của cơ quan, tổ chức, cá nhân trong hoạt động tư pháp, được thực hiện ngay từ khi tiếp nhận và giải quyết tố giác, tin báo về tội phạm, kiến nghị khởi tố và trong suốt quá trình giải quyết vụ án hình sự; trong việc giải quyết vụ án hành chính, vụ việc dân sự, hôn nhân và gia đình, kinh doanh, thương mại, lao động; việc thi hành án, việc giải quyết khiếu nại, tố cáo trong hoạt động tư pháp; các hoạt động tư pháp khác theo quy định của pháp luật","Việc tiếp nhận, giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố; việc giải quyết vụ án hình sự, vụ án hành chính, vụ việc dân sự, hôn nhân và gia đình, kinh doanh, thương mại, lao động; việc thi hành án; việc giải quyết khiếu nại, tố cáo trong hoạt động tư pháp; các hoạt động tư pháp khác được thực hiện đúng quy định của pháp luật"
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát nhân dân thực hành quyền công tố nhằm bảo đảm:","Mọi hành vi phạm tội, người phạm tội phải được phát hiện, khởi tố, điều tra, truy tố, xét xử kịp thời, nghiêm minh, đúng người, đúng tội, đúng pháp luật, không làm oan người vô tội, không để lọt tội phạm và người phạm tội","Việc bắt, tạm giữ, tạm giam, thi hành án phạt tù, chế độ tạm giữ, tạm giam, quản lý và giáo dục người chấp hành án phạt tù theo đúng quy định của pháp luật",tất cả đều đúng,"Bản án, quyết định của Tòa án đã có hiệu lực pháp luật phải được thi hành nghiêm chỉnh"
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát nhân dân thực hành quyền công tố nhằm bảo đảm:","Không để người nào bị khởi tố, bị bắt, tạm giữ, tạm giam, bị hạn chế quyền con người, quyền công dân trái luật","Việc bắt, tạm giữ, tạm giam, thi hành án phạt tù, chế độ tạm giữ, tạm giam, quản lý và giáo dục người chấp hành án phạt tù theo đúng quy định của pháp luật",tất cả đều đúng,"Bản án, quyết định của Tòa án đã có hiệu lực pháp luật phải được thi hành nghiêm chỉnh"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố là","Trực tiếp giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố trong trường hợp phát hiện có vi phạm pháp luật nghiêm trọng hoặc có dấu hiệu bỏ lọt tội phạm mà Viện kiểm sát nhân dân đã yêu cầu nhưng không được khắc phục.","Tiếp nhận, kiểm tra, xác minh, ra quyết định giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố đầy đủ, đúng pháp luật;","Trực tiếp kiểm sát; kiểm sát việc kiểm tra, xác minh, lập hồ sơ và kết quả giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố của Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra. Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra có trách nhiệm thông báo đầy đủ, kịp thời kết quả xác minh, giải quyết cho Viện kiểm sát nhân dân.","Phê chuẩn, không phê chuẩn việc bắt người trong trường hợp khẩn cấp, gia hạn tạm giữ và các biện pháp khác hạn chế quyền con người, quyền công dân trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố là","Phê chuẩn, không phê chuẩn việc bắt người trong trường hợp khẩn cấp, gia hạn tạm giữ và các biện pháp khác hạn chế quyền con người, quyền công dân trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố","Tiếp nhận, kiểm tra, xác minh, ra quyết định giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố đầy đủ, đúng pháp luật;","Trực tiếp kiểm sát; kiểm sát việc kiểm tra, xác minh, lập hồ sơ và kết quả giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố của Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra. Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra có trách nhiệm thông báo đầy đủ, kịp thời kết quả xác minh, giải quyết cho Viện kiểm sát nhân dân.","Tiếp nhận đầy đủ tố giác, tin báo về tội phạm và kiến nghị khởi tố do các cơ quan, tổ chức, cá nhân chuyển đến và chuyển ngay cho Cơ quan điều tra có thẩm quyền giải quyết"
"Theo Luật Luật tổ chức VKSND 2014, Chức năng, nhiệm vụ của Viện kiểm sát nhân dân là","là cơ quan thực hành quyền công tố, kiểm sát hoạt động tư pháp của nước Cộng hòa xã hội chủ nghĩa Việt Nam",tất cả đều đúng,"bảo vệ lợi ích của Nhà nước, quyền và lợi ích của tổ chức, cá nhân",bảo vệ nhân dân Việt Nam
"Theo Luật Luật tổ chức VKSND 2014, Việc thành lập, giải thể Viện kiểm sát nhân dân cấp cao, Viện kiểm sát nhân dân cấp tỉnh, Viện kiểm sát nhân dân cấp huyện do chủ thể nào quyết định?",Ủy ban thường vụ Quốc hội,Chủ tịch nước,Quốc hội,Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Ngày truyền thống của Viện kiểm sát nhân dân là ngày nào?",Ngày 26 tháng 7,Ngày 26 tháng 8,Ngày 27 tháng 8,Ngày 24 tháng 7
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát nhân dân thực hiện chức năng thực hành quyền công tố bằng các công tác sau đây:",Điều tra một số loại tội phạm,xây dựng pháp luật,"phổ biến, giáo dục pháp luật",Thống kê tội phạm
"Theo Luật Luật tổ chức VKSND 2014, Nguyên tắc tổ chức và hoạt động của Viện kiểm sát nhân dân:",Viện trưởng các Viện kiểm sát cấp dưới chịu sự ……………của Viện trưởng Viện kiểm sát nhân dân tối cao,Viện kiểm sát nhân dân do Chủ tich nước lãnh đạo,Viện kiểm sát nhân dân do Thủ tướng Chính phu lãnh đạo,Viện kiểm sát nhân dân do Viện trưởng lãnh đạo
"Theo Luật Luật tổ chức VKSND 2014, Nguyên tắc tổ chức và hoạt động của Viện kiểm sát nhân dân:",Viện kiểm sát nhân dân do Viện trưởng lãnh đạo,Viện kiểm sát nhân dân do Chủ tich nước lãnh đạo,Viện kiểm sát nhân dân do Thủ tướng Chính phu lãnh đạo,Viện kiểm sát nhân dân do Chủ tịch Quốc hội lãnh đạo
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát hoạt động tư pháp là:","hoạt động của Viện kiểm sát nhân dân để kiểm sát tính hợp pháp của các hành vi, quyết định của cơ quan, tổ chức, cá nhân trong hoạt động tư pháp, được thực hiện ngay từ khi tiếp nhận và giải quyết tố giác, tin báo về tội phạm, kiến nghị khởi tố và trong suốt quá trình giải quyết vụ án hình sự; trong việc giải quyết vụ án hành chính, vụ việc dân sự, hôn nhân và gia đình, kinh doanh, thương mại, lao động; việc thi hành án, việc giải quyết khiếu nại, tố cáo trong hoạt động tư pháp; các hoạt động tư pháp khác theo quy định của pháp luật","hoạt động của Viện kiểm sát nhân dân trong tố tụng hình sự để thực hiện việc buộc tội của Nhà nước đối với người phạm tội, được thực hiện ngay từ khi giải quyết tố giác, tin báo về tội phạm, kiến nghị khởi tố và trong suốt quá trình khởi tố, điều tra, truy tố, xét xử vụ án hình sự","Việc tiếp nhận, giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố; việc giải quyết vụ án hình sự, vụ án hành chính, vụ việc dân sự, hôn nhân và gia đình, kinh doanh, thương mại, lao động; việc thi hành án; việc giải quyết khiếu nại, tố cáo trong hoạt động tư pháp; các hoạt động tư pháp khác được thực hiện đúng quy định của pháp luật",Tất cả đều sai
"Theo Luật Luật tổ chức VKSND 2014, Khi thực hiện chức năng thực hành quyền công tố, Viện kiểm sát nhân dân có nhiệm vụ, quyền hạn sau đây:","Quyết định, phê chuẩn việc áp dụng, thay đổi, hủy bỏ các biện pháp hạn chế quyền con người, quyền công dân trong việc giải quyết tố giác, tin báo về tội phạm, kiến nghị khởi tố và trong việc khởi tố, điều tra, truy tố theo quy định của Bộ luật tố tụng hình sự","Yêu cầu cơ quan, tổ chức, cá nhân thực hiện hoạt động tư pháp theo đúng quy định của pháp luật; tự kiểm tra việc tiến hành hoạt động tư pháp thuộc thẩm quyền và thông báo kết quả cho Viện kiểm sát nhân dân; cung cấp hồ sơ, tài liệu để Viện kiểm sát nhân dân kiểm sát tính hợp pháp của các hành vi, quyết định trong hoạt động tư pháp","Kháng nghị bản án, quyết định của Tòa án có vi phạm pháp luật; kiến nghị hành vi, quyết định của Tòa án có vi phạm pháp luật; kháng nghị hành vi, quyết định có vi phạm pháp luật của cơ quan, người có thẩm quyền khác trong hoạt động tư pháp","Xử lý vi phạm; yêu cầu, kiến nghị cơ quan, tổ chức, cá nhân có thẩm quyền khắc phục, xử lý nghiêm minh vi phạm pháp luật trong hoạt động tư pháp; kiến nghị cơ quan, tổ chức hữu quan áp dụng các biện pháp phòng ngừa vi phạm pháp luật và tội phạm"
"Theo Luật Luật tổ chức VKSND 2014, Khi thực hiện chức năng kiểm sát hoạt động tư pháp, Viện kiểm sát nhân dân có nhiệm vụ, quyền hạn sau đây:",tất cả đều đúng,"Hủy bỏ các quyết định tố tụng trái pháp luật khác trong việc giải quyết tố giác, tin báo về tội phạm, kiến nghị khởi tố và trong việc khởi tố, điều tra của Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra","Trực tiếp kiểm sát; xác minh, thu thập tài liệu để làm rõ vi phạm pháp luật của cơ quan, tổ chức, cá nhân trong hoạt động tư pháp","Quyết định, phê chuẩn việc áp dụng, thay đổi, hủy bỏ các biện pháp hạn chế quyền con người, quyền công dân trong việc giải quyết tố giác, tin báo về tội phạm, kiến nghị khởi tố và trong việc khởi tố, điều tra, truy tố theo quy định của Bộ luật tố tụng hình sự"
